取樣日期,經度,緯度,深度(M),銫-137活度,銫-137單位,氚活度,氚單位,類別,地點編號,地點,取樣單位/人,備註
107/03/02,"24°14'15.7""","120°27'50.1""",0-5,－,毫貝克/升,,,海水,,大肚溪口,環保署,1公升
107/03/02,"24°11'47.2""","120°25'30.7""",0-5,－,毫貝克/升,,,海水,O-9,大肚溪口外四海浬,環保署,1公升
107/03/02,"24°45'62.4""","120°52'54.1""",0-5,－,毫貝克/升,,,海水,,中港溪口一,環保署,1公升
107/03/02,"24°41'12.9""","120°47'60.3""",0-5,－,毫貝克/升,,,海水,,中港溪口二,環保署,1公升
107/03/02,"24°20'10.3""","120°29'36.0""",0-5,－,毫貝克/升,,,海水,,台中港沿海一,環保署,1公升
107/03/02,"24°18'11.7""","120°27'25.1""",0-5,－,毫貝克/升,,,海水,,台中港沿海二,環保署,1公升
107/03/02,"24°48'41.5""","120°52'18.8""",0-5,－,毫貝克/升,,,海水,O-8,客雅溪河口外4海浬,環保署,1公升
107/03/02,"24°29'17.3""","120°38'59.9""",0-5,－,毫貝克/升,,,海水,,通霄溪口,環保署,1公升
107/03/02,"24°51'30.6""","120°54'32.2""",0-5,－,毫貝克/升,,,海水,,頭前溪口南側,環保署,1公升
107/03/10,"23°45'06.7""","120°10'42.2""",0-5,1.06,毫貝克/升,,,海水,,機動檢測,中山大學,
107/03/10,"26°9'33.26""","119°59'58.06""",0-5,1.33,毫貝克/升,,,海水,,機動檢測,中山大學,
107/03/10,"26°9'36.09""","120°0'27.01""",0-5,1.01,毫貝克/升,,,海水,,機動檢測,中山大學,
107/03/10,"26°9'55.98""","119°59'2.78""",0-5,1.04,毫貝克/升,,,海水,,機動檢測,中山大學,
107/03/11,"24°22'44.67""","118°26'54.8""",0-5,1.24,毫貝克/升,,,海水,,機動檢測,中山大學,
107/03/11,"24°23'33.87""","118°25'19.39""",0-5,1.21,毫貝克/升,,,海水,,機動檢測,中山大學,
107/03/11,"24°24'17.75""","118°23'40.74""",0-5,1.13,毫貝克/升,,,海水,,機動檢測,中山大學,
107/03/13,"23°06'25.04""","121°23'21.34""",0-5,1.59,毫貝克/升,,,海水,R-8,成功漁港,偵測中心,
107/03/13,"23°58'34.4""","121°37'11.12""",0-5,1.42,毫貝克/升,,,海水,R-7,花蓮港,偵測中心,
107/03/14,"25°08'40.48""","121°47'29.32""",0-5,1.42,毫貝克/升,,,海水,R-5,八斗子,偵測中心,
107/03/14,"22°20'18.03""","120°53'55.88""",0-5,1.39,毫貝克/升,,,海水,R-9,大武漁港,偵測中心,
107/03/14,"24°34'55.12""","121°52'6.06""",0-5,0.91,毫貝克/升,,,海水,R-6,南方澳,偵測中心,
107/03/14,"25°11'8.52""","121°47'45.96""",2.5,1.46,毫貝克/升,,,海水,,機動檢測,中山大學,
107/03/14," 24°20'29.40""","121°47'8.92""",220,1.09,毫貝克/升,,,海水,,機動檢測,中山大學,
107/03/15,"22°38'7.89""","120°10'1.13""",0-5,0.91,毫貝克/升,,,海水,,機動檢測,中山大學,
107/03/18,"25°08'1.62""","121°59'35.7""",2.5,1.41,毫貝克/升,,,海水,,機動檢測,中山大學,
107/03/19,"23°58'19.57""","120°19'25.65""",0-5,1.11,毫貝克/升,,,海水,R-3,王功漁港,偵測中心,
107/03/19,"24°50'46.6""","120°55'25.45""",0-5,1.44,毫貝克/升,,,海水,R-4,南寮漁港,偵測中心,
107/03/20,"23°27'2.55""","120°08'15.46""",0-5,0.94,毫貝克/升,,,海水,R-2,東石漁港,偵測中心,
107/03/20,"22°33'53.58""","120°12'10.38""",0-5,1.29,毫貝克/升,,,海水,,機動檢測,中山大學,
107/03/20,"22°38'2.52""","120°14'16.5""",0-5,0.88,毫貝克/升,,,海水,,機動檢測,中山大學,
107/03/21,"22°37'3.12""","120°16'5.45""",0-5,1.22,毫貝克/升,,,海水,R-1,西子灣 ,偵測中心,
107/03/22," 25°09'26.34""","121°50'46.98""",2.5,1.04,毫貝克/升,,,海水,,機動檢測,中山大學,
107/03/31,"22°13'55.56""","120°23'59.70""",0-5,1.12,毫貝克/升,,,海水,,機動檢測,中山大學,
107/04/02,"22°38'16.9""","120°14'41.2""",0-5,－,毫貝克/升,,,海水,,高雄港沿海-12,環保署,1公升
107/04/02,"22°36'41.6""","120°14'38.8""",0-5,－,毫貝克/升,,,海水,,高雄港沿海-13,環保署,1公升
107/04/02,"22°33'33.7""","120°17'13.3""",0-5,－,毫貝克/升,,,海水,,高雄港沿海-14,環保署,1公升
107/04/02,"22°35'15.3""","120°15'44.9""",0-5,－,毫貝克/升,,,海水,,高雄港沿海-15,環保署,1公升
107/04/02," 25°25'05.46""","122°12'20.52""",200,2.02,毫貝克/升,,,海水,,機動檢測,中山大學,
107/04/02,"25°26'46.55""","122°04'46.50""",200,1.99,毫貝克/升,,,海水,,機動檢測,中山大學,
107/04/02," 25°25'05.46""","122°12'20.52""",0-5,1.55,毫貝克/升,,,海水,,機動檢測,中山大學,
107/04/02,"25°14'52.37""","121°79'01.32""",0-5,1.43,毫貝克/升,,,海水,,機動檢測,中山大學,
107/04/02,"25°26'46.55""","122°04'46.50""",0-5,1.43,毫貝克/升,,,海水,,機動檢測,中山大學,
107/04/03,"22°21'58.26""","120°17'55.02""",0-5,1.02,毫貝克/升,,,海水,,機動檢測,中山大學,
107/04/10,"22°54'37.9""","120°10'20.0""",0-5,－,毫貝克/升,,,海水,,二仁溪海域-10,環保署,1公升
107/04/10,"22°57'37.0""","120°06'52.9""",0-5,－,毫貝克/升,,,海水,,二仁溪海域-11,環保署,1公升
107/04/10,"22°53'20.1""","120°09'30.6""",0-5,－,毫貝克/升,,,海水,,二仁溪海域-7,環保署,1公升
107/04/10,"22°55'12.8""","120°09'40""",0-5,－,毫貝克/升,,,海水,,二仁溪海域-8,環保署,1公升
107/04/10,"22°54'36.6""","120°09'06.0""",0-5,－,毫貝克/升,,,海水,,二仁溪海域-9,環保署,1公升
107/04/10,"23°58'19.57""","120°19'25.65""",0-5,1.34,毫貝克/升,,,海水,R-3,王功漁港,偵測中心,
107/04/10,"24°50'46.6""","120°55'25.45""",0-5,1.14,毫貝克/升,,,海水,R-4,南寮漁港,偵測中心,
107/04/11,"22°28'33.4""","120°23'37.3""",0-5,－,毫貝克/升,,,海水,,大鵬灣沿岸-16,環保署,1公升
107/04/11,"22°28'16.4""","120°25'44.4""",0-5,－,毫貝克/升,,,海水,,大鵬灣沿岸-17,環保署,1公升
107/04/11,"22°24'49.4""","120°23'34.2""",0-5,－,毫貝克/升,,,海水,,大鵬灣沿岸-18,環保署,1公升
107/04/11,"22°28'17.9""","120°25'19.7""",0-5,－,毫貝克/升,,,海水,,大鵬灣沿岸-19,環保署,1公升
107/04/11,"22°27'51.6""","120°26'1.2""",0-5,－,毫貝克/升,,,海水,,大鵬灣沿岸-20,環保署,1公升
107/04/11,"22°26'20.1""","120°29'8.4""",0-5,－,毫貝克/升,,,海水,,大鵬灣沿岸-21,環保署,1公升
107/04/11,"22°26'08.3""","120°28'59.1""",0-5,－,毫貝克/升,,,海水,,大鵬灣沿岸-22,環保署,1公升
107/04/11,"23°23'5.28""","120°09'3.83""",0-5,0.69,毫貝克/升,,,海水,,布袋漁港,偵測中心,
107/04/13,"21°55'30.7""","120°45'24.3""",0-5,－,毫貝克/升,,,海水,,核三沿岸-23,環保署,1公升
107/04/13,"21°55'50.6""","120°45'8.1""",0-5,－,毫貝克/升,,,海水,,核三沿岸-24,環保署,1公升
107/04/13,"21°57'03.4""","120°45'36.3""",0-5,－,毫貝克/升,,,海水,,核三沿岸-25,環保署,1公升
107/04/13,"21°56'34.8""","120°44'45.7""",0-5,－,毫貝克/升,,,海水,,核三沿岸-26,環保署,1公升
107/04/13,"21°56'42.1""","120°46'3.2""",0-5,－,毫貝克/升,,,海水,,核三沿岸-27,環保署,1公升
107/04/13,"21°56'31.4""","120°46'58.5""",0-5,－,毫貝克/升,,,海水,,核三沿岸-28,環保署,1公升
107/04/15,"22°20'18.03""","120°53'55.88""",0-5,1.4,毫貝克/升,,,海水,R-9,大武漁港,偵測中心,
107/04/15,"23°06'25.04""","121°23'21.34""",0-5,1.31,毫貝克/升,,,海水,R-8,成功漁港,偵測中心,
107/04/15,"23°58'34.4""","121°37'11.12""",0-5,0.98,毫貝克/升,,,海水,R-7,花蓮港,偵測中心,
107/04/16,"22°45'42.1""","121°10'44.5""",0-5,－,毫貝克/升,,,海水,,台東沿海-29,環保署,1公升
107/04/16,"22°42'14.3""","121°06'5.0""",0-5,－,毫貝克/升,,,海水,,台東沿海-30,環保署,1公升
107/04/16,"22°47'5.4""","121°11'25.5""",0-5,－,毫貝克/升,,,海水,,台東沿海-31,環保署,1公升
107/04/16,"22°45'03.7""","121°13'52.1""",0-5,－,毫貝克/升,,,海水,,台東沿海-35,環保署,1公升
107/04/16,"23°32'26.8""","119°37'30.9""",0-5,－,毫貝克/升,,,海水,,澎湖沿海-36,環保署,1公升
107/04/16,"23°30'14.4""","119°35'51.7""",0-5,－,毫貝克/升,,,海水,,澎湖沿海-37,環保署,1公升
107/04/16,"23°33'08.5""","119°40'19.1""",0-5,－,毫貝克/升,,,海水,,澎湖沿海-38,環保署,1公升
107/04/16,"23°44'01.8""","119°36'56.4""",0-5,－,毫貝克/升,,,海水,,澎湖沿海-39,環保署,1公升
107/04/16,"23°30'55.1""","119°29'11.2""",0-5,－,毫貝克/升,,,海水,,澎湖沿海-42,環保署,1公升
107/04/17,"22°39'27""","121°28'16.8""",0-5,－,毫貝克/升,,,海水,,台東沿海-34,環保署,1公升
107/04/17,"23°25'54.3""","120°06'28.9""",0-5,－,毫貝克/升,,,海水,,東石布袋沿海-1,環保署,1公升
107/04/17,"23°26'13.1""","120°06'10.5""",0-5,－,毫貝克/升,,,海水,,東石布袋沿海-2,環保署,1公升
107/04/17,"23°23'54.9""","120°06'29.7""",0-5,－,毫貝克/升,,,海水,,東石布袋沿海-3,環保署,1公升
107/04/17,"23°23'24.5""","120°07'47.6""",0-5,－,毫貝克/升,,,海水,,東石布袋沿海-4,環保署,1公升
107/04/17,"23°21'56.6""","120°07'7.01""",0-5,－,毫貝克/升,,,海水,,東石布袋沿海-5,環保署,1公升
107/04/17,"23°26'01.8""","120°03'55.8""",0-5,－,毫貝克/升,,,海水,,東石布袋沿海-6,環保署,1公升
107/04/17,"23°11'24.8""","119°25'02.90""",0-5,－,毫貝克/升,,,海水,,澎湖沿海-40,環保署,1公升
107/04/17,"23°20'53.4""","119°31'26.9""",0-5,－,毫貝克/升,,,海水,,澎湖沿海-41,環保署,1公升
107/04/18,"25°08'40.48""","121°47'29.32""",0-5,1.04,毫貝克/升,,,海水,R-5,八斗子,偵測中心,
107/04/18,"22°03'50.4""","121°30'17.4""",0-5,－,毫貝克/升,,,海水,,台東沿海-33,環保署,1公升
107/04/19,"22°05'01.4""","121°22'43.8""",0-5,－,毫貝克/升,,,海水,,台東沿海-32,環保署,1公升
107/04/20,"24°34'55.12""","121°52'6.06""",0-5,1.51,毫貝克/升,,,海水,R-6,南方澳,偵測中心,
107/04/27,"22°40'37.08""","120°09'55.43""",0-5,1.58,毫貝克/升,,,海水,,機動檢測,中山大學,
107/05/04,"24°34'59.98""","121°57'59.97""",0-5,1.07,毫貝克/升,,,海水,,機動檢測,海巡署,
107/05/04,"24°34'59.98""","122°02'59.99""",0-5,0.91,毫貝克/升,,,海水,,機動檢測,海巡署,
107/05/05,"26°09'06.52""","120°01'17.99""",0-5,1.23,毫貝克/升,,,海水,,機動檢測,中山大學,
107/05/05,"26°09'34.38""","119°59'34.34""",0-5,1.58,毫貝克/升,,,海水,,機動檢測,中山大學,
107/05/05,"26°10'49.60""","119°57'56.84""",0-5,1.15,毫貝克/升,,,海水,,機動檢測,中山大學,
107/05/14,"21°53'51.90""","120°44'57.50""",0-5,1.06,毫貝克/升,,,海水,,機動檢測,中山大學,
107/05/14,"21°54'20.30""","120°48'50.70""",0-5,1.03,毫貝克/升,,,海水,,機動檢測,中山大學,
107/05/14,"21°57'18.90""","120°45'44.80""",0-5,1.11,毫貝克/升,,,海水,,機動檢測,中山大學,
107/05/15,"22°37'3.12""","120°16'5.45""",0-5,1.3,毫貝克/升,,,海水,R-1,西子灣 ,偵測中心,
107/05/18,"24°20'23.68""","121°47'31.31""",328,1.34,毫貝克/升,,,海水,,機動檢測,中山大學,
107/05/18,"24°22'26.87""","118°26'33.95""",0-5,1.22,毫貝克/升,,,海水,,機動檢測,中山大學,
107/05/18,"24°23'19.4""","118°25'08.58""",0-5,1.32,毫貝克/升,,,海水,,機動檢測,中山大學,
107/05/18,"24°24'13.23""","118°23'29.31""",0-5,1.89,毫貝克/升,,,海水,,機動檢測,中山大學,
107/05/27,"25°09'16.08""","121°50'25.25""",1,1.8,毫貝克/升,,,海水,,機動檢測,中山大學,
107/05/29,"22°37'51.9""","120°13'39.29""",3,1.48,毫貝克/升,,,海水,,機動檢測,中山大學,
107/06/08,"25°09'58.8""","121°50'3.6""",2,1.8,毫貝克/升,,,海水,,機動檢測,中山大學,
107/06/12,"22°38'56.1""","120°11'6.84""",0-5,1.91,毫貝克/升,,,海水,,機動檢測,中山大學,
107/06/26,"24°40'00.00""","121°51'00.00""",0-5,1.86,毫貝克/升,,,海水,,機動檢測,海巡署,
107/06/26,"24°45'00.00""","121°51'00.00""",0-5,1.31,毫貝克/升,,,海水,,機動檢測,海巡署,
107/06/29,"22°38'38.7""","120°10'40.32""",0.5,0.85,毫貝克/升,,,海水,,機動檢測,中山大學,
107/07/04,"25°15'9.10""","121°44'8.68""",1,1.4,毫貝克/升,,,海水,,機動檢測,中山大學,
107/07/06,"22°37'3.12""","120°16'5.45""",0-5,0.62,毫貝克/升,,,海水,R-1,西子灣 ,偵測中心,
107/07/08,"25°32'59.28""","121°48'26.64""",5,1.7,毫貝克/升,,,海水,,機動檢測,中山大學,
107/07/08,"25°41'12.22""","121°22'46.14""",5,1.09,毫貝克/升,,,海水,,機動檢測,中山大學,
107/07/10,"23°58'19.57""","120°19'25.65""",0-5,1.03,毫貝克/升,,,海水,R-3,王功漁港,偵測中心,
107/07/10,"24°50'46.6""","120°55'25.45""",0-5,0.94,毫貝克/升,,,海水,R-4,南寮漁港,偵測中心,
107/07/11,"23°27'2.55""","120°08'15.46""",0-5,0.65,毫貝克/升,,,海水,R-2,東石漁港,偵測中心,
107/07/14,"21°50'53.99""","123°54'00.00""",0-5,1.25,毫貝克/升,,,海水,,機動檢測,遠洋漁業中心,
107/07/15,"22°30'00.00""","128°14'05.99""",0-5,0.79,毫貝克/升,,,海水,,機動檢測,遠洋漁業中心,
107/07/18,"22°47'27.6""","121°11'31.19""",0-5,1.17,毫貝克/升,,,海水,,富岡漁港,偵測中心,
107/07/19,"23°06'25.04""","121°23'21.34""",0-5,1.26,毫貝克/升,,,海水,R-8,成功漁港,偵測中心,
107/07/19,"23°58'34.4""","121°37'11.12""",0-5,1.14,毫貝克/升,,,海水,R-7,花蓮港,偵測中心,
107/07/25,"22°37'41.16""","120°11'53.28""",1,1.3,毫貝克/升,,,海水,,機動檢測,中山大學,
107/07/28,"25°10'24.00""","122°29'00.00""",0-5,1.53,毫貝克/升,,,海水,,機動檢測,遠洋漁業中心,
107/07/29,"25°23'06.00""","121°12'24.00""",0-5,1.19,毫貝克/升,,,海水,,機動檢測,遠洋漁業中心,
107/07/31,"25°08'40.48""","121°47'29.32""",0-5,1.37,毫貝克/升,,,海水,R-5,八斗子,偵測中心,
107/08/01,"24°34'55.12""","121°52'6.06""",0-5,0.73,毫貝克/升,,,海水,R-6,南方澳,偵測中心,
107/08/12,"25°09'40.68""","121°50'38.52""",2,1.51,毫貝克/升,,,海水,,機動檢測,中山大學,
107/08/12,"26°09'06.77""","120°01'15.46""",0-5,1.16,毫貝克/升,,,海水,,機動檢測,中山大學,
107/08/12,"26°09'34.46""","119°59'32.31""",0-5,1.87,毫貝克/升,,,海水,,機動檢測,中山大學,
107/08/12,"26°10'49.88""","119°57'57.59""",0-5,1.2,毫貝克/升,,,海水,,機動檢測,中山大學,
107/08/13,"24°20'23.21""","121°47'31.13""",334,1.49,毫貝克/升,,,海水,,機動檢測,中山大學,
107/08/15,"24°26'21.50""","118°28'30.70""",0-5,－,毫貝克/升,,,海水,O-5,金門本島東側沿海,環保署,1公升
107/08/15,"24°27'59.40""","118°21'07.20""",0-5,－,毫貝克/升,,,海水,,金門后江灣外,環保署,1公升
107/08/15,"24°24'18.90""","118°16'54.80""",0-5,－,毫貝克/升,,,海水,,金烈水道南側,環保署,1公升
107/08/17,"22°30'07.79""","120°10'22.80""",5,1.11,毫貝克/升,,,海水,,機動檢測,中山大學,
107/08/17,"22°30'07.79""","120°10'22.80""",200,1.99,毫貝克/升,,,海水,,機動檢測,中山大學,
107/08/18,"21°52'37.98""","117°24'27.47""",5,0.77,毫貝克/升,,,海水,,機動檢測,中山大學,
107/08/18,"21°52'37.98""","117°24'27.47""",200,1.96,毫貝克/升,,,海水,,機動檢測,中山大學,
107/08/20,"26°23'17.90""","120°28'33.40""",0-5,－,毫貝克/升,,,海水,O-7,東引北部沿海,環保署,1公升
107/08/22,"26°14'11.30""","120°01'06.30""",0-5,－,毫貝克/升,,,海水,O-6,北竿東部沿海,環保署,1公升
107/08/22,"26°10'26.10""","119°55'28.90""",0-5,－,毫貝克/升,,,海水,,南竿鄉北部沿海,環保署,1公升
107/08/22,"26°11'40.50""","119°56'59.10""",0-5,－,毫貝克/升,,,海水,,馬祖海峽,環保署,1公升
107/08/26,"24°22'20.52""","118°26'34.44""",0-5,1.46,毫貝克/升,,,海水,,機動檢測,中山大學,
107/08/26,"24°23'20.52""","118°25'19.16""",0-5,1.55,毫貝克/升,,,海水,,機動檢測,中山大學,
107/08/26,"24°24'20""","118°23'48.8""",0-5,1.8,毫貝克/升,,,海水,,機動檢測,中山大學,
107/09/07,"21°53'51.90""","120°44'57.50""",0-5,1,毫貝克/升,,,海水,,機動檢測,中山大學,
107/09/07,"21°54'20.30""","120°48'50.70""",0-5,0.83,毫貝克/升,,,海水,,機動檢測,中山大學,
107/09/07,"21°57'19.90""","120°45'44.80""",0-5,1.08,毫貝克/升,,,海水,,機動檢測,中山大學,
107/09/08,"22°30'44.81""","120°12'07.19""",5,0.92,毫貝克/升,,,海水,,機動檢測,中山大學,
107/09/08,"22°30'44.81""","120°12'07.20""",178,1.88,毫貝克/升,,,海水,,機動檢測,中山大學,
107/09/17,"24°40'00.00""","121°53'00.00""",0-5,1.27,毫貝克/升,,,海水,,機動檢測,海巡署,
107/09/17,"24°45'00.00""","121°53'00.00""",0-5,1.28,毫貝克/升,,,海水,,機動檢測,海巡署,
107/09/18,"22°51'38.00""","121°12'09.20""",0-5,1.2,毫貝克/升,,,海水,,機動檢測,中山大學,
107/09/22,"25°10'05.63""","121°50'22.78""",2,1.83,毫貝克/升,,,海水,,機動檢測,中山大學,
107/10/04,"23°06'25.04""","121°23'21.34""",0-5,0.79,毫貝克/升,,,海水,R-8,成功漁港,偵測中心,
107/10/04,"23°58'34.4""","121°37'11.12""",0-5,0.8,毫貝克/升,,,海水,R-7,花蓮港,偵測中心,
107/10/04,"22°47'27.6""","121°11'31.19""",0-5,0.7,毫貝克/升,,,海水,,富岡漁港,偵測中心,
107/10/15,"26°09'01.60""","120°01'12.97""",0-5,1.07,毫貝克/升,,,海水,,機動檢測,中山大學,
107/10/15,"26°09'25.89""","119°59'22.08""",0-5,1.1,毫貝克/升,,,海水,,機動檢測,中山大學,
107/10/15,"26°10'27.79""","119°58'05.71""",0-5,1.74,毫貝克/升,,,海水,,機動檢測,中山大學,
107/10/16,"24°50'46.60""","120°55'25.45""",0-5,0.88,毫貝克/升,,,海水,R-4,南寮漁港,偵測中心,
107/10/17,"23°58'19.57""","120°19'25.65""",0-5,1.3,毫貝克/升,,,海水,R-3,王功漁港,偵測中心,
107/10/17,"23°27'02.55""","120°08'15.46""",0-5,0.76,毫貝克/升,,,海水,R-2,東石漁港,偵測中心,
107/10/18,"22°37'49.79""","120°11'42.89""",0-5,0.92,毫貝克/升,,,海水,,機動檢測,中山大學,
107/10/19,"24°22'44.67""","118°26'54.80""",0-5,1.02,毫貝克/升,,,海水,,機動檢測,中山大學,
107/10/19,"24°23'33.87""","118°25'19.39""",0-5,1.36,毫貝克/升,,,海水,,機動檢測,中山大學,
107/10/19,"24°24'17.75""","118°23'40.74""",0-5,0.98,毫貝克/升,,,海水,,機動檢測,中山大學,
107/10/23,"25°12'44.81""","122°01'14.39""",0-5,1.76,毫貝克/升,,,海水,,機動檢測,中山大學,
107/10/24,"24°34'00.00""","122°04'00.00""",0-5,0.71,毫貝克/升,,,海水,,機動檢測,海巡署,
107/10/24,"24°35'00.00""","121°58'00.00""",0-5,1.01,毫貝克/升,,,海水,,機動檢測,海巡署,
107/10/25,"24°53'29.90""","120°56'20.60""",0-5,－,毫貝克/升,,,海水,,新竹紅毛港外海,環保署,1公升
107/10/25,"24°52'08.20""","120°55'01.90""",0-5,－,毫貝克/升,,,海水,,新竹鳳山溪北側,環保署,1公升
107/10/31,"24°34'55.12""","121°52'6.06""",0-5,0.99,毫貝克/升,,,海水,R-6,南方澳,偵測中心,
107/11/02,"22°37'03.12""","120°16'05.45""",0-5,1,毫貝克/升,,,海水,R-1,西子灣,偵測中心,
107/11/06,"22°45'17.16""","120°07'24.96""",0-5,0.98,毫貝克/升,,,海水,,機動檢測,中山大學,
107/11/07,"25°08'40.48""","121°47'29.32""",0-5,1.95,毫貝克/升,,,海水,R-5,八斗子,偵測中心,
107/11/07,"21°53'51.90""","120°44'57.50""",0-5,1.27,毫貝克/升,,,海水,,機動檢測,中山大學,
107/11/07,"21°54'20.30""","120°48'50.70""",0-5,1.06,毫貝克/升,,,海水,,機動檢測,中山大學,
107/11/07,"21°57'18.90""","120°45'44.80""",0-5,1.22,毫貝克/升,,,海水,,機動檢測,中山大學,
107/11/07,"25°13'33.71""","121°42'35.28""",0-5,1.7,毫貝克/升,,,海水,,機動檢測,中山大學,
107/11/10,"23°08'01.00""","120°03'24.00""",0-5,1.02,毫貝克/升,,,海水,,機動檢測,中山大學,
107/11/13,"22°39'13.43""","120°09'44.34""",0-5,1.36,毫貝克/升,,,海水,,機動檢測,中山大學,
107/11/26,"25°08'56.75""","121°48'42.96""",0-5,1.45,毫貝克/升,,,海水,,機動檢測,中山大學,
108/01/07,"24°50'50.83""","120°55'28.19""",0-5,1.35,毫貝克/升,,,海水,R-4,南寮漁港,偵測中心,
108/01/08,"23°58'19.09""","120°19'25.97""",0-5,1.39,毫貝克/升,,,海水,R-3,王功漁港,偵測中心,
108/01/08,"22°37'03.12""","120°16'05.45""",0-5,0.89,毫貝克/升,,,海水,R-1,西子灣,偵測中心,
108/01/09,"23°27'10.94""","120°08'17.36""",0-5,1.55,毫貝克/升,,,海水,R-2,東石漁港,偵測中心,
108/01/15,"23°09'34.10""","121°24'10.90""",0-5,1.05,毫貝克/升,,,海水,R-8,成功漁港,偵測中心,
108/01/15,"23°58'52.20""","121°37'27.70""",0-5,1.42,毫貝克/升,,,海水,R-7,花蓮港,偵測中心,
108/01/15,"22°47'26.90""","121°11'32.10""",0-5,1.11,毫貝克/升,,,海水,,富岡漁港,偵測中心,
108/01/15,"10°24'00.01""","114°12'00.01""",0-5,1.12,毫貝克/升,,,海水,,機動檢測,海巡署,
108/01/15,"10°30'00.00""","114°17'59.99""",0-5,1.45,毫貝克/升,,,海水,,機動檢測,海巡署,
108/01/15,"10°30'00.00""","114°30'00.00""",0-5,1.1,毫貝克/升,,,海水,,機動檢測,海巡署,
108/01/18,"24°34'55.12""","121°52'06.06""",0-5,0.95,毫貝克/升,,,海水,R-6,南方澳,偵測中心,
108/01/25,"25°08'40.48""","121°47'29.32""",0-5,1.31,毫貝克/升,,,海水,R-5,八斗子,偵測中心,
108/01/25,"26°17'00.00""","120°37'00.00""",0-5,1.28,毫貝克/升,,,海水,,機動檢測,海巡署,
108/01/25,"26°18'00.00""","120°24'00.00""",0-5,0.9,毫貝克/升,,,海水,,機動檢測,海巡署,
108/01/25,"26°28'00.00""","120°37'00.00""",0-5,1.73,毫貝克/升,,,海水,,機動檢測,海巡署,
108/01/31,"23°20'00.00""","119°40'00.00""",0-5,1.23,毫貝克/升,,,海水,,機動檢測,海巡署,
108/01/31,"23°43'00.00""","119°19'00.00""",0-5,1.28,毫貝克/升,,,海水,,機動檢測,海巡署,
108/01/31,"23°54'00.00""","119°35'00.00""",0-5,0.87,毫貝克/升,,,海水,,機動檢測,海巡署,
108/02/12,"21°48'00.02""","120°42'00.01""",0-5,0.83,毫貝克/升,,,海水,,機動檢測,海巡署,
108/02/12,"21°51'35.99""","120°55'48.00""",0-5,1.19,毫貝克/升,,,海水,,機動檢測,海巡署,
108/02/12,"21°57'36.00""","120°35'24.00""",0-5,0.83,毫貝克/升,,,海水,,機動檢測,海巡署,
108/02/12,"24°23'60.00""","118°30'00.00""",0-5,0.88,毫貝克/升,,,海水,,機動檢測,海巡署,
108/02/14,"22°00'15.56""","121°34'51.81""",0-5,1.12,毫貝克/升,,,海水,,機動檢測,中山大學,
108/02/15,"24°22'12.00""","118°27'00.00""",0-5,1.35,毫貝克/升,,,海水,,機動檢測,海巡署,
108/02/18,"24°21'00.00""","118°19'12.00""",0-5,1.05,毫貝克/升,,,海水,,機動檢測,海巡署,
108/02/19,"26°02'24.00""","119°52'12.00""",0-5,0.93,毫貝克/升,,,海水,,機動檢測,海巡署,
108/02/19,"26°03'36.00""","120°00'00.00""",0-5,1.18,毫貝克/升,,,海水,,機動檢測,海巡署,
108/02/19,"26°08'24.00""","120°04'48.00""",0-5,1.02,毫貝克/升,,,海水,,機動檢測,海巡署,
108/02/21,"22°03'26.06""","119°47'58.30""",3,1.09,毫貝克/升,,,海水,,機動檢測,中山大學,
108/02/21,"22°03'26.06""","119°47'58.30""",50,1.63,毫貝克/升,,,海水,,機動檢測,中山大學,
108/02/21,"22°03'26.06""","119°47'58.30""",125,1.25,毫貝克/升,,,海水,,機動檢測,中山大學,
108/02/21,"22°03'26.06""","119°47'58.30""",200,2.2,毫貝克/升,,,海水,,機動檢測,中山大學,
108/02/22,"22°25'02.50""","120°02'45.38""",5,1.04,毫貝克/升,,,海水,,機動檢測,中山大學,
108/02/22,"21°53'51.90""","120°44'57.50""",0-5,1.31,毫貝克/升,,,海水,,機動檢測,中山大學,
108/02/22,"21°54'20.30""","120°48'50.70""",0-5,1.2,毫貝克/升,,,海水,,機動檢測,中山大學,
108/02/22,"21°57'18.90""","120°45'44.80""",0-5,1.24,毫貝克/升,,,海水,,機動檢測,中山大學,
108/02/24,"25°12'02.82""","121°49'26.03""",5,1.06,毫貝克/升,,,海水,,機動檢測,中山大學,
108/02/24,"25°12'02.82""","121°49'26.03""",50,1.28,毫貝克/升,,,海水,,機動檢測,中山大學,
108/02/24,"25°12'02.82""","121°49'26.03""",100,1.26,毫貝克/升,,,海水,,機動檢測,中山大學,
108/02/27,"25°24'42.35""","121°32'43.86""",5,0.92,毫貝克/升,,,海水,,機動檢測,中山大學,
108/02/27,"25°24'42.35""","121°32'43.86""",50,0.87,毫貝克/升,,,海水,,機動檢測,中山大學,
108/02/27,"25°24'42.35""","121°32'43.86""",105,0.97,毫貝克/升,,,海水,,機動檢測,中山大學,
108/03/04,"10°22'43.00""","114°21'54.00""",0-5,1.11,毫貝克/升,,,海水,,機動檢測,中山大學,
108/03/27,25°45'02.99,"121°15'28.20""",50,1.12,毫貝克/升,,,海水,,機動檢測,中山大學,
108/03/27,25°45'02.99,"121°15'28.20""",75,1.26,毫貝克/升,,,海水,,機動檢測,中山大學,
108/03/27,"25°25'04.20""","122°12'25.19""",125,1.74,毫貝克/升,,,海水,,機動檢測,中山大學,
